cytokine
CT-1
IL-36-alpha
IL-9
TSLP
IL-7
IL-36Ra
IL-33
IL-13
G-CSF
IL-23
IL-21
SCF
OSM
IFN-alpha1
IL-15
LIGHT
CD27L
IL-4
IL-34
IL-17F
4-1BBL
IFN-epsilon
ADSF
Noggin
IL-31
TRAIL
IL-1Ra
IL-12
LIF
TNF-alpha
IL-20
IL-10
IL-1-beta
EGF
IL-18Ra
FasL
CD30L
IL-27
IFN-lambda1
Leptin
IL-22
IL-17D
Decorin
RANKL
IL-32-beta
GM-CSF
IL-19
IL-2
IFN-lambda2
IFN-gamma
IL-17E
IL-1-alpha
IL-6
FLT3L
IL-35
IGF-1
IFN-beta
TWEAK
IL-3
TPO
EPO
IL-5
OX40L
PSPN
LAP-TGF-beta1
IL-8
LT-alpha1-beta2
FGF-beta
IL-16
HGF
IL-17A
PRL
IL-17C
GDNF
IL-26
GITRL
CD40L
IL-24
Megalin
IFN-lambda3
VEGF
TL1A
M-CSF
LT-alpha2-beta1
C5a
IL-11
IL-17B
BAFF
IFN-omega
APRIL
